pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_mismatch,Data_source_2_mismatch
175,1069,15,11072,114110940,data_2,4396.16,4172.63
175,1069,18,11740,119446394,data_2,1230.04,1208.07
175,1069,18,11740,119446449,data_2,21944.29,21809.77
175,1069,21,14567,120590839,data_2,797.61,688.83
175,1069,22,11002,106148025,data_2,24554.84,24327.86
175,1069,22,11015,105307383,data_2,74.11,18.55
175,1069,22,11051,113140029,data_2,215.11,30.67
175,1069,22,16140,101058840,data_2,27042.95,26555.67
175,1069,30,13731,122069224,data_2,1342.06,1330.88
175,1069,30,13731,122069372,data_2,110.96,99.86
175,1069,30,13731,122069380,data_2,2478.63,2456.29
175,1069,30,13731,122756825,data_2,968.73,957.6
175,1069,30,13731,123069082,data_2,725.14,691.66
175,1069,31,14041,109693997,data_2,14318.41,14134.84
175,1069,32,11688,122905969,data_2,80.91,67.42
175,1069,34,12225,105028883,data_2,6321.47,6310.93
175,1069,34,12245,103066818,data_2,2498.75,2488.29
175,1069,34,12948,116283397,data_2,61659.37,60309.97
175,1069,34,14771,122754148,data_2,12636.6,12392.84
175,1069,34,15359,101079366,data_2,12680.16,12558.91
175,1069,39,14789,122923977,data_2,20090.38,20033.31
182,1069,15,11072,114110754,data_2,1088.81,1190.91
182,1069,16,11134,101099669,data_2,1556.99,1534.75
182,1069,16,11134,101099687,data_2,384.71,365.47
182,1069,16,11134,119204250,data_2,225.5,321.85
182,1069,17,11064,111721140,data_2,899.5,1092.25
182,1069,17,11064,114048218,data_2,268.38,253.47
182,1069,17,11064,116738521,data_2,180.96,135.72
182,1069,17,11064,120042229,data_2,1028.0,963.75
182,1069,18,11740,119446394,data_2,229.14,269.64
182,1069,18,11740,119446449,data_2,8097.59,7965.07
182,1069,18,11740,119446475,data_2,41.94,31.45
182,1069,19,11253,101282911,data_2,87.57,75.06
182,1069,19,11253,109452906,data_2,38.74,67.8
182,1069,21,12151,111199843,data_2,161.88,242.82
182,1069,21,12151,111199878,data_2,319.98,266.64
182,1069,21,12151,111199967,data_2,365.28,574.03
182,1069,21,12151,121904039,data_2,284.96,357.76
182,1069,23,14412,101860393,data_2,131.4,120.45
182,1069,23,15530,121765707,data_2,179.0,161.1
182,1069,26,11516,108096340,data_2,317.88,295.17
182,1069,45,12111,101798296,data_2,274.91,137.45
182,1869,15,11072,114110754,data_2,816.76,714.66
182,1869,16,11134,109456413,data_2,56.92,111.69
182,1869,16,11134,119204250,data_2,1637.87,1541.52
182,1869,17,11064,111721140,data_2,2248.75,2056.0
182,1869,18,11740,119446394,data_2,1228.35,1187.85
182,1869,18,11740,119446449,data_2,23590.45,23152.36
182,1869,19,11253,109452906,data_2,58.12,29.06
182,1869,20,11131,120468889,data_2,42.89,107.46
182,1869,21,12151,111199843,data_2,323.76,242.82
182,1869,21,12151,111199967,data_2,2661.61,2348.48
196,10297,19,11253,109580297,data_2,9218.63,8490.83
196,10297,19,11253,114173306,data_2,6476.24,7625.21
196,10297,24,11070,104788679,data_2,494.1,576.45
196,10297,24,11137,111668444,data_2,253.44,168.96
196,10297,32,13291,104125621,data_2,2902.75,3162.72
196,10297,32,13291,108602114,data_2,3119.4,2989.4
196,10298,17,11064,111721140,data_2,13920.09,12180.07
196,10298,17,11064,114048218,data_2,2449.85,2261.4
196,10298,17,11064,120042229,data_2,49256.39,48411.99
196,10298,17,11064,122659706,data_2,5271.58,4792.35
196,10298,17,11064,122967567,data_2,1479.64,986.43
196,10298,19,11253,109580297,data_2,51067.08,47791.99
196,10298,19,11253,114173306,data_2,39482.98,36349.41
196,10298,21,12151,111199967,data_2,6250.5,5469.19
196,10298,22,11002,109602134,data_2,30059.22,29022.7
196,10298,22,11007,100012024,data_2,17234.44,17148.7
196,10298,22,11007,100012839,data_2,557412.36,547994.62
196,10298,22,11010,100074232,data_2,535263.23,528376.35
196,10298,22,11010,103123382,data_2,56232.41,53676.39
196,10298,22,11013,100012911,data_2,76846.34,76024.46
196,10298,22,11015,105046695,data_2,11169.97,10820.91
196,10298,22,11015,105307383,data_2,33863.75,32931.71
196,10298,22,11015,109774121,data_2,7871.17,7579.65
196,10298,22,11016,106139573,data_2,24385.5,23410.08
196,10298,22,11016,122297138,data_2,3950.38,3687.02
196,10298,22,11039,100012741,data_2,14786.47,14465.02
196,10298,22,11041,100016499,data_2,12068.63,11774.27
196,10298,22,11051,105000318,data_2,142881.6,141494.4
196,10298,22,12182,102291257,data_2,13193.03,11727.13
196,10298,22,12198,102091851,data_2,11434.79,10937.63
196,10298,22,12208,102411295,data_2,32946.06,32188.68
196,10298,22,12210,108181585,data_2,12629.43,12313.69
196,10298,22,12216,106139279,data_2,10698.23,9009.04
196,10298,22,12283,105076365,data_2,21800.37,21021.79
196,10298,22,12285,113079594,data_2,6150.49,6044.45
196,10298,22,13036,106140105,data_2,1082.08,360.69
196,10298,22,14605,121250375,data_2,163095.95,162197.35
196,10298,22,15770,118199407,data_2,5922.03,5762.03
196,10298,23,12203,100073600,data_2,156470.94,155842.54
196,10298,23,12203,120257031,data_2,38034.01,37316.39
196,10298,23,14412,101860393,data_2,20430.58,20134.48
196,10298,23,14412,116885540,data_2,2964.95,2371.96
196,10298,23,15531,108988314,data_2,23707.95,23503.57
196,10298,24,11045,102314141,data_2,3014.22,2782.36
196,10298,24,11070,104788679,data_2,4941.0,4817.47
196,10298,24,11137,111668444,data_2,19092.15,18838.71
196,10298,30,13731,112537589,data_2,360.64,240.43
196,10298,30,13731,122949216,data_2,856.15,713.46
196,10298,32,13291,104125621,data_2,21576.33,20276.55
196,10298,32,13291,108602114,data_2,9488.35,8708.48
196,10298,34,11045,101003507,data_2,41119.0,38181.93
196,10298,34,12232,103391328,data_2,17628.0,15424.5
196,10298,34,12238,103479109,data_2,30756.19,82299.48
196,10298,34,12238,105102544,data_2,13623.69,51397.69
196,10298,34,12238,105321912,data_2,36465.0,78540.0
196,10298,34,12959,102699787,data_2,11442.85,19102.85
196,10298,38,11299,102014458,data_2,1373.9,1030.42
196,10298,38,11299,102216808,data_2,124345.55,121972.54
196,10298,38,11299,121778493,data_2,9553.73,9245.55
196,10298,38,14621,103311162,data_2,25562.98,25210.39
196,10299,17,11064,101515765,data_2,1970.26,1688.79
196,10299,17,11064,103217263,data_2,1581.88,1384.14
196,10299,17,11064,111721140,data_2,1450.03,2030.03
196,10299,17,11064,112481674,data_2,988.67,1581.88
196,10299,17,11064,113523273,data_2,597.92,398.61
196,10299,17,11064,120042140,data_2,2790.2,2590.9
196,10299,17,11064,120042229,data_2,3096.12,3940.52
196,10299,17,11064,122659706,data_2,798.72,1277.95
196,10299,17,11064,122661247,data_2,1606.74,1147.67
196,10299,19,11253,109580297,data_2,1334.25,2062.05
196,10299,19,11253,114173306,data_2,1357.9,1671.26
196,10299,22,11007,100012024,data_2,2059.43,1979.69
196,10299,22,11007,100012839,data_2,13999.14,14738.53
196,10299,22,11010,100074232,data_2,16951.04,15229.36
196,10299,22,11010,102179120,data_2,604.22,469.94
196,10299,22,11013,100012911,data_2,1655.24,1635.68
196,10299,22,11015,105046695,data_2,988.92,959.83
196,10299,22,11015,105307383,data_2,905.5,1190.3
196,10299,22,11016,106139573,data_2,1828.32,1787.7
196,10299,22,11016,122297138,data_2,396.05,659.41
196,10299,22,11039,100012741,data_2,1071.13,1017.57
196,10299,22,11039,102459387,data_2,330.81,318.79
196,10299,22,11041,100016499,data_2,1522.72,1424.48
196,10299,22,11051,105000318,data_2,7976.4,8323.2
196,10299,22,11051,113140029,data_2,5290.4,5212.6
196,10299,22,11128,108044960,data_2,1724.08,1692.73
196,10299,22,12194,103192961,data_2,800.67,739.07
196,10299,22,12198,102091851,data_2,745.09,703.7
196,10299,22,12207,102939796,data_2,549.43,457.85
196,10299,22,12208,102411295,data_2,724.6,661.6
196,10299,22,12210,108181585,data_2,710.5,684.19
196,10299,22,12216,106139279,data_2,2158.17,2017.41
196,10299,22,12274,113110602,data_2,382.2,352.8
196,10299,22,12283,105076365,data_2,2172.07,2366.84
196,10299,22,12283,122633685,data_2,1076.89,1005.09
196,10299,22,12285,113079594,data_2,106.04,194.41
196,10299,22,13036,106140105,data_2,541.04,480.92
196,10299,22,13656,122652930,data_2,1605.27,1541.06
196,10299,22,13906,112235088,data_2,306.1,244.88
196,10299,22,14605,121250375,data_2,5896.97,5822.32
196,10299,22,14605,121250413,data_2,1729.46,1579.08
196,10299,22,15685,100073341,data_2,2157.44,1869.78
196,10299,22,15770,118199407,data_2,1000.74,960.66
196,10299,23,12203,100073600,data_2,2112.19,1795.36
196,10299,23,12203,120257031,data_2,1872.05,1755.05
196,10299,24,11045,102318368,data_2,1993.82,1883.05
196,10299,24,11137,101052652,data_2,2114.02,1937.85
196,10299,24,11137,103888133,data_2,242.4,121.2
196,10299,32,13291,104125621,data_2,1343.11,1256.44
196,10299,32,13291,108602114,data_2,1386.39,1256.43
196,10299,34,11045,101003507,data_2,3521.7,3242.2
196,10299,34,11045,120399545,data_2,1565.2,1453.4
196,10299,34,12232,103391328,data_2,1410.24,1145.82
196,10299,34,12232,105026651,data_2,3701.88,3173.04
196,10299,34,12238,103479109,data_2,8467.03,7237.99
196,10299,34,12238,105000032,data_2,3184.48,2981.23
196,10299,34,12238,105102544,data_2,8960.58,8553.3
196,10299,34,12238,105321912,data_2,10168.15,9116.23
196,10299,34,12238,108045061,data_2,4286.45,4022.65
196,10299,34,12243,120748477,data_2,1711.38,1633.58
196,10299,34,13977,108661706,data_2,207.48,118.56
196,10299,34,13977,108661722,data_2,1333.8,1244.88
196,10299,34,14153,113104548,data_2,1635.58,1357.84
196,10299,34,14153,113104637,data_2,1604.72,1573.86
196,10299,34,14309,116336814,data_2,2061.5,1736.0
196,10299,34,14790,122922609,data_2,1406.0,1330.0
196,10299,34,14976,101237808,data_2,1216.8,1081.6
196,10299,38,11090,102122293,data_2,227.04,37.84
196,10299,38,11090,102387726,data_2,2485.04,2186.84
