pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
182,1069,15,11072,101000883,data_1,4.0,4.0
182,1069,15,11072,102149906,data_1,6.0,6.0
182,1069,15,11072,102162880,data_1,4.0,4.0
182,1069,15,11072,102266511,data_1,5.0,5.0
182,1069,15,11072,102386126,data_1,6.0,6.0
182,1069,15,11072,105502674,data_1,3.0,3.0
182,1069,15,11072,108692512,data_1,1.0,1.0
182,1069,15,11072,109365892,data_1,4.0,4.0
182,1069,15,11072,109366015,data_1,6.0,6.0
182,1069,15,11072,111217539,data_1,1.0,1.0
182,1069,15,11072,113363322,data_1,11.0,11.0
182,1069,15,11072,114110940,data_1,37.0,37.0
182,1069,15,11072,115366629,data_1,5.0,5.0
182,1069,15,11072,116609959,data_1,6.0,6.0
182,1069,16,11134,101099646,data_1,6.0,6.0
182,1069,16,11134,101099653,data_1,15.0,15.0
182,1069,16,11134,101892800,data_1,4.0,4.0
182,1069,16,11134,101892818,data_1,11.0,11.0
182,1069,16,11134,104149970,data_1,5.0,5.0
182,1069,16,11134,109130828,data_1,5.0,5.0
182,1069,16,11134,119203998,data_1,10.0,10.0
182,1069,16,11134,120725558,data_1,5.0,5.0
182,1069,17,11064,101129666,data_1,3.0,3.0
182,1069,17,11064,101477313,data_1,11.0,11.0
182,1069,17,11064,101515765,data_1,4.0,4.0
182,1069,17,11064,101572543,data_1,4.0,4.0
182,1069,17,11064,104937197,data_1,9.0,9.0
182,1069,17,11064,104939270,data_1,8.0,8.0
182,1069,17,11064,109398898,data_1,12.0,12.0
182,1069,17,11064,111721132,data_1,15.0,15.0
182,1069,17,11064,112481488,data_1,3.0,3.0
182,1069,17,11064,112481674,data_1,3.0,3.0
182,1069,17,11064,113523273,data_1,8.0,8.0
182,1069,17,11064,113523354,data_1,3.0,3.0
182,1069,17,11064,115459521,data_1,6.0,6.0
182,1069,17,11064,115459580,data_1,1.0,1.0
182,1069,17,11064,116321558,data_1,5.0,5.0
182,1069,17,11064,116738572,data_1,6.0,6.0
182,1069,17,11064,120042140,data_1,16.0,16.0
182,1069,17,11064,120808283,data_1,13.0,13.0
