pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,21,14567,101495976,data_2,293.46,293.46
175,1069,21,14567,120601174,data_1,3.0,3.0
175,1069,21,14567,120601174,data_2,108.76,108.76
175,1069,21,14567,120601279,data_1,3.0,3.0
175,1069,21,14567,120601279,data_2,196.76,196.76
175,1069,21,14567,120601298,data_1,4.0,4.0
175,1069,21,14567,120601298,data_2,285.27,285.27
175,1069,21,14567,120601344,data_1,6.0,6.0
175,1069,21,14567,120601344,data_2,203.39,203.39
175,1069,21,14567,120601395,data_1,4.0,4.0
175,1069,21,14567,120601395,data_2,190.09,190.09
175,1069,21,14567,120602952,data_1,5.0,5.0
175,1069,21,14567,120602952,data_2,193.57,193.57
175,1069,21,14567,120602987,data_1,10.0,10.0
175,1069,21,14567,120602987,data_2,272.46,272.46
175,1069,21,14567,120603002,data_1,4.0,4.0
175,1069,21,14567,120603002,data_2,169.28,169.28
175,1069,21,14567,120603159,data_1,69.0,69.0
175,1069,21,14567,120603159,data_2,5935.03,5935.03
175,1069,21,14567,120603207,data_1,21.0,21.0
175,1069,21,14567,120603207,data_2,1070.46,1070.46
175,1069,21,14567,120603274,data_1,10.0,10.0
175,1069,21,14567,120603274,data_2,491.95,491.95
175,1069,21,14567,120603428,data_1,5.0,5.0
175,1069,21,14567,120603428,data_2,368.48,368.48
175,1069,21,14567,122117067,data_1,1.0,1.0
175,1069,21,14567,122117067,data_2,35.81,35.81
175,1069,21,14567,122117075,data_1,3.0,3.0
175,1069,21,14567,122117075,data_2,224.26,224.26
175,1069,21,14567,122492097,data_1,3.0,3.0
175,1069,21,14567,122492097,data_2,294.79,294.79
175,1069,21,14567,122968129,data_1,2.0,2.0
175,1069,21,14567,122968129,data_2,404.9,404.9
175,1069,22,11001,100012105,data_1,21.0,21.0
175,1069,22,11001,100012105,data_2,657.2,657.2
175,1069,22,11002,100016208,data_1,1295.0,1295.0
175,1069,22,11002,100016208,data_2,179812.99,179812.99
175,1069,22,11010,100074186,data_1,15.0,15.0
175,1069,22,11010,100074186,data_2,2635.55,2635.55
175,1069,22,11010,103123382,data_1,6.0,6.0
175,1069,22,11010,103123382,data_2,401.43,401.43
175,1069,22,11043,105306158,data_1,3.0,3.0
175,1069,22,11043,105306158,data_2,26.08,26.08
175,1069,22,12208,102411295,data_1,22.0,22.0
175,1069,22,12208,102411295,data_2,265.84,265.84
175,1069,22,13656,122652930,data_1,9.0,9.0
175,1069,22,13656,122652930,data_2,187.79,187.79
175,1069,22,14605,121250375,data_1,11.0,11.0
175,1069,22,14605,121250375,data_2,278.61,278.61
175,1069,22,16139,100017468,data_1,11.0,11.0
175,1069,22,16139,100017468,data_2,20123.51,20123.51
175,1069,23,15599,101884328,data_1,1.0,1.0
175,1069,23,15599,101884328,data_2,10.5,10.5
175,1069,24,11137,102775068,data_1,13.0,13.0
175,1069,24,11137,102775068,data_2,470.66,470.66
175,1069,24,11137,102775343,data_1,40.0,40.0
175,1069,24,11137,102775343,data_2,1310.22,1310.22
175,1069,24,11137,103888125,data_1,6.0,6.0
175,1069,24,11137,103888125,data_2,147.82,147.82
175,1069,24,11137,108207193,data_1,3.0,3.0
175,1069,24,11137,108207193,data_2,73.17,73.17
175,1069,24,11137,111668444,data_1,45.0,45.0
175,1069,24,11137,111668444,data_2,1088.24,1088.24
175,1069,24,12089,111671615,data_1,4.0,4.0
175,1069,24,12089,111671615,data_2,127.35,127.35
175,1069,25,11132,104213512,data_1,4.0,4.0
175,1069,25,11132,104213512,data_2,143.96,143.96
175,1069,25,11415,118709464,data_1,16.0,16.0
175,1069,25,11415,118709464,data_2,523.5,523.5
175,1069,26,11069,109355145,data_1,7.0,7.0
175,1069,26,11069,109355145,data_2,84.94,84.94
175,1069,26,11069,109355153,data_1,4.0,4.0
175,1069,26,11069,109355153,data_2,46.72,46.72
175,1069,26,11069,109356915,data_1,36.0,36.0
175,1069,26,11069,109356915,data_2,734.68,734.68
175,1069,26,11069,115633491,data_1,17.0,17.0
175,1069,26,11069,115633491,data_2,347.53,347.53
175,1069,26,11516,108096375,data_1,33.0,33.0
175,1069,26,11516,108096375,data_2,1419.51,1419.51
175,1069,27,12081,102112387,data_1,5.0,5.0
175,1069,27,12081,102112387,data_2,123.52,123.52
